District,Municipality_Name,Municipality_Type,Area_SqKm,Population,Contact_Email,Contact_Phone
GURUGRAM,Gurugram,CORPORATION,297.99,1120280,cmc@mcg.gov.in,18001801817
GURUGRAM,Manesar,CORPORATION,138.18,161696,cmc.manesar@hry.nic.in,01242012232
GURUGRAM,Sohna,COUNCIL,70.48,77886,eomc.sohna@hry.nic.in,18008900929
GURUGRAM,Pataudi Jatauli Mandi,COUNCIL,62.99,66972,eomc.pataudi@hry.nic.in,18008900929
GURUGRAM,Farrukh Nagar,COMMITTEE,20.21,21711,secymc.farrukhnagar@hry.nic.in,01242275000
FARIDABAD,Faridabad,CORPORATION,285.89,2029164,mcfbd@hry.nic.in,01292415549
AMBALA,Ambala,CORPORATION,67.56,258093,cmc.ambala@hry.nic.in,18008900929
AMBALA,Ambala Sadar,COUNCIL,56.27,270215,eomc.ambalasadar@hry.nic.in,18008900929
AMBALA,Barara,COMMITTEE,13.89,27710,secymc.barara@hry.nic.in,18008900929
AMBALA,Naraingarh,COMMITTEE,8.95,27360,secymc.naraingarh@hry.nic.in,18008900929
BHIWANI,Bhiwani,COUNCIL,40.52,231110,eomc.bhiwani@hry.nic.in,18008900929
BHIWANI,Bawani Khera,COMMITTEE,9.87,26412,secymc.bawanikhera@hry.nic.in,18008900929
BHIWANI,Loharu,COMMITTEE,9.95,16496,secymc.loharu@hry.nic.in,18008900929
BHIWANI,Siwani,COMMITTEE,4.49,23615,secymc.siwani@hry.nic.in,18008900929
CHARKHI DADRI,Charkhi Dadri,COUNCIL,15.80,60211,eomc.charkhidadri@hry.nic.in,18008900929
FATEHABAD,Fatehabad,COUNCIL,28.15,86755,eomc.fatehabad@hry.nic.in,18008900929
FATEHABAD,Tohana,COUNCIL,19.57,74952,eomc.tohana@hry.nic.in,18008900929
FATEHABAD,Bhuna,COMMITTEE,4.25,31958,secymc.bhuna@hry.nic.in,18008900929
FATEHABAD,Jakhal,COMMITTEE,2.67,14647,secymc.jakhal@hry.nic.in,18008900929
FATEHABAD,Ratia,COMMITTEE,8.52,43445,secymc.ratia@hry.nic.in,18008900929
HISAR,Hisar,CORPORATION,92.92,385038,cmc.hisar@hry.nic.in,18008900929
HISAR,Barwala,COUNCIL,9.34,50746,eomc.barwala@hry.nic.in,18008900929
HISAR,Uklana,COMMITTEE,3.86,18690,secymc.uklana@hry.nic.in,18008900929
HANSI,Hansi,CORPORATION,13.53,92088,cmc.hansi@hry.nic.in,18008900929
HANSI,Narnaund,COMMITTEE,6.39,20698,secymc.narnaund@hry.nic.in,18008900929
JHAJJAR,Bahadurgarh,COUNCIL,29.29,221002,eomc.bahadurgarh@hry.nic.in,18008900929
JHAJJAR,Jhajjar,COUNCIL,35.78,54804,eomc.jhajjar@hry.nic.in,18008900929
JHAJJAR,Beri,COMMITTEE,1.29,17372,secymc.beri@hry.nic.in,18008900929
JIND,Jind,COUNCIL,38.24,184136,eomc.jind@hry.nic.in,18008900929
JIND,Narwana,COUNCIL,9.53,67148,eomc.narwana@hry.nic.in,18008900929
JIND,Julana,COMMITTEE,13.85,20347,secymc.julana@hry.nic.in,18008900929
JIND,Safidon,COMMITTEE,8.38,37857,secymc.safidon@hry.nic.in,18008900929
JIND,Uchana,COMMITTEE,4.28,19205,secymc.uchana@hry.nic.in,18008900929
KAITHAL,Kaithal,COUNCIL,39.87,168653,eomc.kaithal@hry.nic.in,18008900929
